country,listed_in,count
,Dramas,1
,Independent Movies,1
,International Movies,1
,International TV Shows,1
,TV Dramas,1
Afghanistan,Documentaries,1
Afghanistan,International Movies,1
Albania,Dramas,1
Albania,International Movies,1
Algeria,Classic Movies,1
Algeria,Dramas,3
Algeria,Independent Movies,1
Algeria,International Movies,3
Angola,Action & Adventure,1
Angola,International Movies,1
Argentina,Action & Adventure,3
Argentina,Children & Family Movies,3
Argentina,Classic & Cult TV,1
Argentina,Classic Movies,1
Argentina,Comedies,14
Argentina,Crime TV Shows,8
Argentina,Cult Movies,2
Argentina,Documentaries,10
Argentina,Docuseries,2
Argentina,Dramas,35
Argentina,Horror Movies,3
Argentina,Independent Movies,8
Argentina,International Movies,58
Argentina,International TV Shows,16
Argentina,Kids' TV,3
Argentina,LGBTQ Movies,1
Argentina,Movies,1
Argentina,Music & Musicals,5
Argentina,Reality TV,1
Argentina,Romantic Movies,3
Argentina,Romantic TV Shows,2
Argentina,Sci-Fi & Fantasy,1
Argentina,Spanish-Language TV Shows,18
Argentina,Sports Movies,6
Argentina,Stand-Up Comedy,8
Argentina,TV Comedies,2
Argentina,TV Dramas,2
Argentina,TV Horror,1
Argentina,Teen TV Shows,1
Argentina,Thrillers,8
Armenia,Documentaries,1
Armenia,International Movies,1
Australia,Action & Adventure,13
Australia,Anime Series,1
Australia,British TV Shows,5
Australia,Children & Family Movies,19
Australia,Classic Movies,5
Australia,Comedies,15
Australia,Crime TV Shows,7
Australia,Cult Movies,1
Australia,Documentaries,15
Australia,Docuseries,11
Australia,Dramas,38
Australia,Faith & Spirituality,2
Australia,Horror Movies,3
Australia,Independent Movies,8
Australia,International Movies,30
Australia,International TV Shows,31
Australia,Kids' TV,21
Australia,LGBTQ Movies,4
Australia,Movies,3
Australia,Music & Musicals,4
Australia,Reality TV,11
Australia,Romantic Movies,6
Australia,Romantic TV Shows,3
Australia,Sci-Fi & Fantasy,7
Australia,Science & Nature TV,6
Australia,Sports Movies,8
Australia,Stand-Up Comedy,3
Australia,TV Action & Adventure,2
Australia,TV Comedies,17
Australia,TV Dramas,19
Australia,TV Horror,1
Australia,TV Mysteries,3
Australia,TV Sci-Fi & Fantasy,4
Australia,TV Thrillers,2
Australia,Teen TV Shows,2
Australia,Thrillers,9
Austria,Crime TV Shows,1
Austria,Documentaries,3
Austria,Dramas,6
Austria,Horror Movies,1
Austria,Independent Movies,4
Austria,International Movies,9
Austria,International TV Shows,1
Austria,Sci-Fi & Fantasy,1
Austria,Sports Movies,1
Austria,TV Dramas,1
Austria,Thrillers,2
Azerbaijan,International TV Shows,1
Azerbaijan,Romantic TV Shows,1
Azerbaijan,TV Dramas,1
Bahamas,Action & Adventure,1
Bangladesh,Comedies,1
Bangladesh,Dramas,4
Bangladesh,Independent Movies,4
Bangladesh,International Movies,3
Belarus,British TV Shows,1
Belarus,Kids' TV,1
Belarus,TV Comedies,1
Belgium,Action & Adventure,12
Belgium,Children & Family Movies,7
Belgium,Classic Movies,1
Belgium,Comedies,20
Belgium,Crime TV Shows,8
Belgium,Documentaries,7
Belgium,Docuseries,1
Belgium,Dramas,44
Belgium,Horror Movies,4
Belgium,Independent Movies,17
Belgium,International Movies,58
Belgium,International TV Shows,11
Belgium,Kids' TV,1
Belgium,LGBTQ Movies,2
Belgium,Music & Musicals,2
Belgium,Romantic Movies,3
Belgium,Sci-Fi & Fantasy,3
Belgium,TV Action & Adventure,2
Belgium,TV Dramas,8
Belgium,TV Mysteries,2
Belgium,TV Sci-Fi & Fantasy,1
Belgium,Thrillers,11
Bermuda,Documentaries,1
Botswana,Documentaries,1
Brazil,Action & Adventure,5
Brazil,Children & Family Movies,7
Brazil,Comedies,20
Brazil,Crime TV Shows,6
Brazil,Documentaries,12
Brazil,Docuseries,6
Brazil,Dramas,26
Brazil,Faith & Spirituality,4
Brazil,Independent Movies,12
Brazil,International Movies,43
Brazil,International TV Shows,26
Brazil,Kids' TV,3
Brazil,LGBTQ Movies,3
Brazil,Music & Musicals,5
Brazil,Reality TV,5
Brazil,Romantic Movies,2
Brazil,Romantic TV Shows,2
Brazil,Science & Nature TV,2
Brazil,Sports Movies,2
Brazil,Stand-Up Comedy,9
Brazil,Stand-Up Comedy & Talk Shows,1
Brazil,TV Comedies,6
Brazil,TV Dramas,11
Brazil,TV Horror,2
Brazil,TV Mysteries,5
Brazil,TV Sci-Fi & Fantasy,2
Brazil,Thrillers,3
Bulgaria,Action & Adventure,5
Bulgaria,Children & Family Movies,1
Bulgaria,Dramas,2
Bulgaria,Horror Movies,1
Bulgaria,Independent Movies,1
Bulgaria,International Movies,4
Bulgaria,Sci-Fi & Fantasy,1
Bulgaria,Thrillers,3
Burkina Faso,Dramas,1
Burkina Faso,Independent Movies,1
Burkina Faso,International Movies,1
Cambodia,Action & Adventure,2
Cambodia,Children & Family Movies,1
Cambodia,Comedies,2
Cambodia,Dramas,2
Cambodia,International Movies,2
Cambodia,Sci-Fi & Fantasy,1
"Cambodia,",Dramas,1
"Cambodia,",International Movies,1
Cameroon,Dramas,1
Cameroon,International Movies,1
Canada,Action & Adventure,44
Canada,Anime Series,2
Canada,British TV Shows,3
Canada,Children & Family Movies,80
Canada,Classic & Cult TV,4
Canada,Comedies,94
Canada,Crime TV Shows,15
Canada,Cult Movies,6
Canada,Documentaries,42
Canada,Docuseries,11
Canada,Dramas,82
Canada,Faith & Spirituality,3
Canada,Horror Movies,36
Canada,Independent Movies,44
Canada,International Movies,60
Canada,International TV Shows,25
Canada,Kids' TV,61
Canada,Korean TV Shows,1
Canada,LGBTQ Movies,6
Canada,Movies,5
Canada,Music & Musicals,14
Canada,Reality TV,9
Canada,Romantic Movies,25
Canada,Romantic TV Shows,2
Canada,Sci-Fi & Fantasy,28
Canada,Science & Nature TV,4
Canada,Sports Movies,13
Canada,Stand-Up Comedy,2
Canada,TV Action & Adventure,12
Canada,TV Comedies,30
Canada,TV Dramas,32
Canada,TV Horror,8
Canada,TV Mysteries,9
Canada,TV Sci-Fi & Fantasy,9
Canada,TV Thrillers,5
Canada,Teen TV Shows,2
Canada,Thrillers,49
Cayman Islands,Children & Family Movies,2
Cayman Islands,Comedies,2
Chile,Action & Adventure,1
Chile,Children & Family Movies,1
Chile,Comedies,7
Chile,Crime TV Shows,1
Chile,Dramas,12
Chile,Horror Movies,3
Chile,Independent Movies,8
Chile,International Movies,17
Chile,International TV Shows,5
Chile,Romantic Movies,1
Chile,Spanish-Language TV Shows,4
Chile,Sports Movies,1
Chile,Stand-Up Comedy,3
Chile,TV Dramas,4
Chile,Thrillers,2
China,Action & Adventure,63
China,Anime Features,2
China,Anime Series,2
China,British TV Shows,3
China,Children & Family Movies,16
China,Comedies,31
China,Crime TV Shows,4
China,Cult Movies,1
China,Documentaries,7
China,Docuseries,1
China,Dramas,32
China,Faith & Spirituality,1
China,Horror Movies,2
China,Independent Movies,2
China,International Movies,71
China,International TV Shows,40
China,Kids' TV,7
China,Korean TV Shows,1
China,Music & Musicals,2
China,Reality TV,1
China,Romantic Movies,9
China,Romantic TV Shows,22
China,Sci-Fi & Fantasy,13
China,Sports Movies,1
China,TV Action & Adventure,7
China,TV Comedies,12
China,TV Dramas,20
China,TV Mysteries,1
China,TV Sci-Fi & Fantasy,3
China,Teen TV Shows,5
China,Thrillers,6
Colombia,Action & Adventure,1
Colombia,Comedies,8
Colombia,Crime TV Shows,18
Colombia,Documentaries,3
Colombia,Docuseries,1
Colombia,Dramas,7
Colombia,Independent Movies,3
Colombia,International Movies,15
Colombia,International TV Shows,31
Colombia,Romantic Movies,2
Colombia,Romantic TV Shows,5
Colombia,Sci-Fi & Fantasy,1
Colombia,Spanish-Language TV Shows,30
Colombia,Stand-Up Comedy,4
Colombia,Stand-Up Comedy & Talk Shows,1
Colombia,TV Action & Adventure,1
Colombia,TV Comedies,1
Colombia,TV Dramas,8
Croatia,Comedies,1
Croatia,Dramas,2
Croatia,Independent Movies,2
Croatia,International Movies,2
Croatia,International TV Shows,1
Croatia,TV Dramas,1
Cuba,Crime TV Shows,1
Cuba,International TV Shows,1
Cuba,Spanish-Language TV Shows,1
Cyprus,Kids' TV,1
Cyprus,TV Comedies,1
Czech Republic,Action & Adventure,5
Czech Republic,British TV Shows,1
Czech Republic,Children & Family Movies,1
Czech Republic,Comedies,3
Czech Republic,Crime TV Shows,2
Czech Republic,Cult Movies,1
Czech Republic,Documentaries,1
Czech Republic,Docuseries,4
Czech Republic,Dramas,7
Czech Republic,Horror Movies,1
Czech Republic,Independent Movies,1
Czech Republic,International Movies,10
Czech Republic,International TV Shows,3
Czech Republic,Reality TV,1
Czech Republic,Romantic Movies,1
Czech Republic,Sci-Fi & Fantasy,3
Czech Republic,Science & Nature TV,1
Czech Republic,Sports Movies,1
Czech Republic,TV Dramas,1
Czech Republic,TV Horror,1
Czech Republic,TV Thrillers,1
Czech Republic,Thrillers,1
Denmark,Action & Adventure,3
Denmark,Children & Family Movies,3
Denmark,Comedies,1
Denmark,Crime TV Shows,2
Denmark,Cult Movies,1
Denmark,Documentaries,11
Denmark,Docuseries,1
Denmark,Dramas,16
Denmark,Independent Movies,9
Denmark,International Movies,23
Denmark,International TV Shows,10
Denmark,Kids' TV,4
Denmark,Romantic Movies,2
Denmark,Sports Movies,2
Denmark,TV Action & Adventure,1
Denmark,TV Comedies,3
Denmark,TV Dramas,8
Denmark,TV Mysteries,2
Denmark,TV Thrillers,1
Denmark,Thrillers,5
Dominican Republic,Horror Movies,1
Dominican Republic,International Movies,1
Dominican Republic,Thrillers,1
East Germany,Children & Family Movies,1
East Germany,Classic Movies,1
East Germany,Comedies,1
Ecuador,Documentaries,1
Egypt,Action & Adventure,15
Egypt,Children & Family Movies,1
Egypt,Classic Movies,8
Egypt,Comedies,57
Egypt,Crime TV Shows,2
Egypt,Documentaries,2
Egypt,Dramas,44
Egypt,Horror Movies,3
Egypt,Independent Movies,5
Egypt,International Movies,99
Egypt,International TV Shows,15
Egypt,Music & Musicals,4
Egypt,Romantic Movies,12
Egypt,Romantic TV Shows,3
Egypt,Sports Movies,2
Egypt,TV Comedies,4
Egypt,TV Dramas,12
Egypt,TV Horror,1
Egypt,TV Mysteries,2
Egypt,TV Sci-Fi & Fantasy,1
Egypt,Thrillers,4
Ethiopia,Dramas,1
Ethiopia,Independent Movies,1
Ethiopia,International Movies,1
Finland,Action & Adventure,1
Finland,British TV Shows,1
Finland,Children & Family Movies,1
Finland,Comedies,2
Finland,Crime TV Shows,2
Finland,Documentaries,3
Finland,Dramas,2
Finland,International Movies,6
Finland,International TV Shows,2
Finland,Kids' TV,2
Finland,Music & Musicals,1
Finland,Sports Movies,1
Finland,TV Comedies,2
Finland,TV Dramas,2
France,Action & Adventure,37
France,British TV Shows,2
France,Children & Family Movies,23
France,Classic Movies,6
France,Comedies,51
France,Crime TV Shows,23
France,Cult Movies,2
France,Documentaries,44
France,Docuseries,7
France,Dramas,167
France,Faith & Spirituality,3
France,Horror Movies,10
France,Independent Movies,73
France,International Movies,207
France,International TV Shows,43
France,Kids' TV,43
France,LGBTQ Movies,1
France,Movies,1
France,Music & Musicals,8
France,Reality TV,2
France,Romantic Movies,22
France,Romantic TV Shows,2
France,Sci-Fi & Fantasy,10
France,Science & Nature TV,1
France,Sports Movies,12
France,Stand-Up Comedy,5
France,Stand-Up Comedy & Talk Shows,1
France,TV Action & Adventure,6
France,TV Comedies,24
France,TV Dramas,27
France,TV Horror,3
France,TV Mysteries,2
France,TV Sci-Fi & Fantasy,1
France,TV Thrillers,3
France,Thrillers,44
Georgia,Documentaries,1
Georgia,Dramas,1
Georgia,Independent Movies,1
Georgia,International Movies,2
Germany,Action & Adventure,33
Germany,British TV Shows,6
Germany,Children & Family Movies,17
Germany,Comedies,42
Germany,Crime TV Shows,15
Germany,Cult Movies,4
Germany,Documentaries,21
Germany,Docuseries,8
Germany,Dramas,80
Germany,Faith & Spirituality,1
Germany,Horror Movies,7
Germany,Independent Movies,31
Germany,International Movies,94
Germany,International TV Shows,35
Germany,Kids' TV,8
Germany,LGBTQ Movies,1
Germany,Movies,2
Germany,Music & Musicals,8
Germany,Reality TV,3
Germany,Romantic Movies,10
Germany,Romantic TV Shows,1
Germany,Sci-Fi & Fantasy,13
Germany,Science & Nature TV,3
Germany,Sports Movies,5
Germany,Stand-Up Comedy,5
Germany,Stand-Up Comedy & Talk Shows,1
Germany,TV Action & Adventure,2
Germany,TV Comedies,5
Germany,TV Dramas,19
Germany,TV Mysteries,2
Germany,TV Sci-Fi & Fantasy,1
Germany,Thrillers,28
Ghana,Comedies,2
Ghana,Dramas,5
Ghana,Independent Movies,2
Ghana,International Movies,5
Greece,Action & Adventure,2
Greece,British TV Shows,2
Greece,Comedies,1
Greece,Documentaries,1
Greece,Docuseries,2
Greece,Dramas,3
Greece,Independent Movies,2
Greece,International Movies,1
Greece,International TV Shows,1
Greece,LGBTQ Movies,1
Greece,Movies,2
Greece,Romantic Movies,1
Greece,Sci-Fi & Fantasy,1
Greece,Science & Nature TV,1
Guatemala,Documentaries,1
Guatemala,Dramas,1
Guatemala,Independent Movies,1
Guatemala,International Movies,2
Hong Kong,Action & Adventure,66
Hong Kong,Children & Family Movies,3
Hong Kong,Classic Movies,1
Hong Kong,Comedies,33
Hong Kong,Crime TV Shows,2
Hong Kong,Cult Movies,5
Hong Kong,Documentaries,1
Hong Kong,Dramas,33
Hong Kong,Independent Movies,4
Hong Kong,International Movies,82
Hong Kong,International TV Shows,5
Hong Kong,Korean TV Shows,1
Hong Kong,Music & Musicals,1
Hong Kong,Romantic Movies,10
Hong Kong,Romantic TV Shows,2
Hong Kong,Sci-Fi & Fantasy,4
Hong Kong,Sports Movies,1
Hong Kong,TV Comedies,1
Hong Kong,TV Dramas,4
Hong Kong,Thrillers,3
Hungary,Action & Adventure,4
Hungary,Children & Family Movies,1
Hungary,Dramas,6
Hungary,Horror Movies,1
Hungary,International Movies,4
Hungary,Romantic Movies,1
Hungary,Sci-Fi & Fantasy,2
Hungary,TV Dramas,1
Hungary,Thrillers,1
Iceland,Action & Adventure,1
Iceland,Crime TV Shows,2
Iceland,Dramas,6
Iceland,Horror Movies,1
Iceland,Independent Movies,3
Iceland,International Movies,2
Iceland,International TV Shows,3
Iceland,Romantic Movies,1
Iceland,Sci-Fi & Fantasy,1
Iceland,Stand-Up Comedy,1
Iceland,TV Dramas,3
Iceland,TV Mysteries,1
Iceland,Thrillers,2
India,Action & Adventure,137
India,British TV Shows,3
India,Children & Family Movies,26
India,Classic Movies,11
India,Comedies,323
India,Crime TV Shows,9
India,Cult Movies,5
India,Documentaries,27
India,Docuseries,9
India,Dramas,662
India,Faith & Spirituality,4
India,Horror Movies,35
India,Independent Movies,167
India,International Movies,864
India,International TV Shows,66
India,Kids' TV,12
India,LGBTQ Movies,2
India,Music & Musicals,96
India,Reality TV,6
India,Romantic Movies,120
India,Romantic TV Shows,12
India,Sci-Fi & Fantasy,12
India,Sports Movies,17
India,Stand-Up Comedy,6
India,Stand-Up Comedy & Talk Shows,3
India,TV Action & Adventure,5
India,TV Comedies,26
India,TV Dramas,28
India,TV Horror,7
India,TV Mysteries,2
