type,rating,listed_in,release_year,duration_mins,cluster
0,7,274,2020,90.0,2
1,11,414,2021,2.0,1
1,11,242,2021,1.0,2
1,11,297,2021,1.0,2
1,11,393,2021,2.0,1
1,11,499,2021,1.0,1
0,6,121,2021,91.0,0
0,11,319,1993,125.0,2
1,9,114,2021,9.0,0
0,7,197,2021,104.0,2
1,11,235,2021,1.0,2
1,11,242,2021,1.0,2
0,11,326,2021,127.0,2
0,12,125,2021,91.0,0
1,11,96,2021,1.0,0
1,11,488,2021,4.0,1
0,11,281,2020,67.0,2
1,11,253,2020,2.0,2
0,9,513,2021,94.0,1
1,11,398,2021,1.0,1
1,9,235,2021,1.0,2
1,9,405,2018,5.0,1
0,12,217,1996,161.0,2
0,13,121,2021,61.0,0
0,9,220,1998,166.0,2
1,9,293,2021,2.0,2
0,12,219,1997,147.0,2
0,7,185,2010,103.0,2
0,7,357,2013,97.0,2
0,7,513,2013,106.0,1
0,9,319,2021,111.0,2
1,11,487,2021,1.0,1
1,11,108,2020,3.0,0
1,11,416,2021,1.0,1
1,14,422,2020,1.0,1
0,11,332,2021,110.0,2
0,11,39,2021,105.0,0
1,14,433,2018,1.0,1
0,7,36,2017,96.0,0
1,14,422,2021,3.0,1
1,14,439,2021,1.0,1
0,6,17,1975,124.0,0
0,6,317,1978,116.0,2
0,6,48,1983,98.0,0
0,7,48,1987,91.0,0
0,6,274,2021,23.0,2
0,8,0,2012,115.0,0
1,11,393,2020,1.0,1
0,8,344,2001,122.0,2
1,11,412,2021,2.0,1
1,12,415,2014,1.0,1
0,9,5,2002,99.0,0
0,9,5,2003,99.0,0
0,12,5,2004,88.0,0
0,12,5,2001,100.0,0
1,12,446,2021,6.0,1
0,9,5,2011,102.0,0
0,12,5,2008,93.0,0
0,12,5,2009,96.0,0
0,12,5,2007,95.0,0
0,9,5,2010,85.0,0
0,12,5,2005,97.0,0
0,12,5,2006,95.0,0
0,12,5,2004,83.0,0
0,12,121,2021,103.0,0
1,13,422,2021,6.0,1
1,10,292,2014,1.0,2
1,12,433,1994,9.0,1
0,9,284,2021,113.0,2
1,12,412,2015,1.0,1
1,11,386,2021,1.0,1
0,13,121,2021,13.0,0
1,11,100,2021,5.0,0
0,11,326,2018,182.0,2
1,12,446,2021,2.0,1
0,10,121,2021,106.0,0
1,9,80,2013,1.0,0
0,14,125,2021,48.0,0
0,9,200,2020,145.0,2
0,9,200,2021,145.0,2
0,14,121,2021,93.0,0
0,8,0,2021,106.0,0
1,9,260,2021,6.0,2
1,11,446,2021,1.0,1
0,11,22,2020,147.0,0
1,14,86,2021,1.0,0
0,11,375,2021,87.0,1
1,13,423,2019,2.0,1
0,7,289,2021,96.0,2
1,14,422,2017,4.0,1
0,11,467,2019,95.0,1
0,9,281,2021,92.0,2
1,11,414,2021,2.0,1
0,11,329,2021,91.0,2
0,6,125,2018,90.0,0
1,11,446,2021,3.0,1
0,11,288,2018,97.0,2
1,14,435,2021,2.0,1
1,13,110,2021,1.0,0
1,11,488,2021,1.0,1
1,14,422,2019,2.0,1
0,11,289,2021,80.0,2
