content_type,country,date_added,release_year,rating,genres,duration_int,duration_type
0,2805,"September 25, 2021",950,2,818,0.28617363344051444,2
1,30,"September 24, 2021",586,10,749,0.003215434083601286,0
1,807,"September 24, 2021",586,10,399,0.0,0
1,807,"September 24, 2021",586,10,220,0.0,0
1,968,"September 24, 2021",586,10,749,0.003215434083601286,0
1,807,"September 24, 2021",586,10,67,0.0,0
0,807,"September 24, 2021",586,1,595,0.28938906752411575,2
0,1,"September 24, 2021",28,10,1597,0.39871382636655944,2
1,412,"September 24, 2021",586,9,248,0.02572347266881029,0
0,2805,"September 24, 2021",586,2,1206,0.33118971061093244,2
1,807,"September 24, 2021",586,10,399,0.0,0
1,807,"September 23, 2021",586,10,399,0.0,0
0,2,"September 23, 2021",586,10,1597,0.405144694533762,2
0,807,"September 22, 2021",586,8,595,0.28938906752411575,2
1,807,"September 22, 2021",586,10,248,0.0,0
1,2805,"September 22, 2021",586,10,120,0.00964630225080386,0
0,807,"September 22, 2021",950,10,818,0.21221864951768488,2
1,110,"September 22, 2021",950,10,399,0.003215434083601286,0
0,807,"September 22, 2021",586,9,65,0.29903536977491957,2
1,807,"September 22, 2021",586,10,749,0.0,0
1,807,"September 22, 2021",586,9,399,0.0,0
1,103,"September 22, 2021",1141,9,749,0.012861736334405145,0
0,807,"September 21, 2021",24,8,1206,0.5144694533762059,2
0,807,"September 21, 2021",586,5,595,0.19292604501607719,2
0,968,"September 21, 2021",36,9,1206,0.5305466237942122,2
1,86,"September 21, 2021",586,9,220,0.003215434083601286,0
0,807,"September 21, 2021",38,8,1206,0.46945337620578775,2
0,2805,"September 20, 2021",193,2,1206,0.3279742765273312,2
0,2805,"September 19, 2021",279,2,271,0.30868167202572344,2
0,1,"September 19, 2021",279,2,65,0.337620578778135,2
0,807,"September 17, 2021",586,9,1597,0.35369774919614144,2
1,807,"September 17, 2021",586,10,120,0.0,0
1,412,"September 17, 2021",950,10,248,0.006430868167202573,0
1,807,"September 17, 2021",586,10,749,0.0,0
1,807,"September 17, 2021",950,6,386,0.0,0
0,807,"September 17, 2021",586,10,1597,0.3504823151125402,2
0,807,"September 17, 2021",586,10,857,0.33440514469453375,2
1,1,"September 16, 2021",1141,6,386,0.0,0
0,3,"September 16, 2021",1022,2,857,0.3054662379421222,2
1,968,"September 16, 2021",586,6,386,0.006430868167202573,0
1,2805,"September 16, 2021",586,6,386,0.0,0
0,2805,"September 16, 2021",7,1,857,0.3954983922829582,2
0,2805,"September 16, 2021",7,1,1597,0.3697749196141479,2
0,2805,"September 16, 2021",11,1,857,0.31189710610932475,2
0,2805,"September 16, 2021",8,2,857,0.28938906752411575,2
0,807,"September 16, 2021",586,1,818,0.0707395498392283,2
0,1,"September 16, 2021",228,3,857,0.36655948553054657,2
1,807,"September 16, 2021",950,10,749,0.0,0
0,2805,"September 16, 2021",45,3,1597,0.3890675241157556,2
1,95,"September 15, 2021",586,10,749,0.003215434083601286,0
1,968,"September 15, 2021",348,8,749,0.0,0
0,245,"September 15, 2021",51,9,857,0.315112540192926,2
0,245,"September 15, 2021",61,9,857,0.315112540192926,2
0,245,"September 15, 2021",64,8,857,0.2797427652733119,2
0,245,"September 15, 2021",45,8,857,0.3183279742765273,2
1,2805,"September 15, 2021",586,8,120,0.016077170418006433,0
0,245,"September 15, 2021",184,9,857,0.3247588424437299,2
0,245,"September 15, 2021",136,8,857,0.2958199356913183,2
0,245,"September 15, 2021",152,8,857,0.3054662379421222,2
0,245,"September 15, 2021",88,8,857,0.3022508038585209,2
0,245,"September 15, 2021",193,9,857,0.270096463022508,2
0,245,"September 15, 2021",80,8,857,0.30868167202572344,2
0,245,"September 15, 2021",96,8,857,0.3022508038585209,2
0,245,"September 15, 2021",64,8,857,0.26366559485530544,2
0,807,"September 15, 2021",586,8,595,0.3279742765273312,2
1,412,"September 15, 2021",586,5,386,0.016077170418006433,0
1,968,"September 15, 2021",348,7,220,0.0,0
1,2805,"September 15, 2021",22,8,386,0.02572347266881029,0
0,807,"September 15, 2021",586,9,818,0.360128617363344,2
1,968,"September 15, 2021",554,8,749,0.0,0
1,807,"September 15, 2021",586,10,749,0.0,0
0,807,"September 14, 2021",586,5,595,0.03858520900321543,2
1,412,"September 14, 2021",586,10,248,0.012861736334405145,0
0,95,"September 14, 2021",1141,10,1597,0.5819935691318329,2
1,807,"September 14, 2021",586,8,120,0.003215434083601286,0
0,807,"September 14, 2021",586,7,595,0.337620578778135,2
1,245,"September 14, 2021",279,9,176,0.0,0
0,807,"September 11, 2021",586,6,595,0.15112540192926047,2
0,807,"September 11, 2021",950,9,1206,0.4630225080385852,2
0,807,"September 11, 2021",586,9,1206,0.4630225080385852,2
0,807,"September 10, 2021",586,6,595,0.2958199356913183,2
0,2805,"September 10, 2021",586,3,857,0.337620578778135,2
1,2805,"September 10, 2021",586,9,399,0.016077170418006433,0
1,807,"September 10, 2021",586,10,120,0.0,0
0,95,"September 10, 2021",950,10,857,0.46945337620578775,2
1,807,"September 10, 2021",586,6,176,0.0,0
0,807,"September 10, 2021",586,10,128,0.27652733118971057,2
1,807,"September 10, 2021",1024,5,386,0.003215434083601286,0
0,807,"September 9, 2021",586,2,818,0.3054662379421222,2
1,807,"September 9, 2021",1022,6,386,0.00964630225080386,0
0,1,"September 9, 2021",1024,10,13,0.3022508038585209,2
0,124,"September 9, 2021",586,9,818,0.292604501607717,2
1,9,"September 8, 2021",586,10,749,0.003215434083601286,0
0,807,"September 8, 2021",586,10,1597,0.28938906752411575,2
0,75,"September 8, 2021",1141,1,595,0.28617363344051444,2
1,47,"September 8, 2021",586,10,120,0.006430868167202573,0
0,2805,"September 7, 2021",1141,10,818,0.30868167202572344,2
1,2805,"September 7, 2021",586,6,386,0.003215434083601286,0
1,412,"September 7, 2021",586,5,248,0.0,0
1,10,"September 7, 2021",586,10,120,0.0,0
