content_type,country,date_added,release_year,rating,duration,genres,duration_int,duration_type
0,2805,5016.0,950,2,90 min,818,0.28617363344051444,2
1,30,5015.0,586,10,2 Season,749,0.003215434083601286,0
1,807,5015.0,586,10,1 Season,399,0.0,0
1,807,5015.0,586,10,1 Season,220,0.0,0
1,968,5015.0,586,10,2 Season,749,0.003215434083601286,0
1,807,5015.0,586,10,1 Season,67,0.0,0
0,807,5015.0,586,1,91 min,595,0.28938906752411575,2
0,1,5015.0,28,10,125 min,1597,0.39871382636655944,2
1,412,5015.0,586,9,9 Season,248,0.02572347266881029,0
0,2805,5015.0,586,2,104 min,1206,0.33118971061093244,2
1,807,5015.0,586,10,1 Season,399,0.0,0
1,807,5014.0,586,10,1 Season,399,0.0,0
0,2,5014.0,586,10,127 min,1597,0.405144694533762,2
0,807,5013.0,586,8,91 min,595,0.28938906752411575,2
1,807,5013.0,586,10,1 Season,248,0.0,0
1,2805,5013.0,586,10,4 Season,120,0.00964630225080386,0
0,807,5013.0,950,10,67 min,818,0.21221864951768488,2
1,110,5013.0,950,10,2 Season,399,0.003215434083601286,0
0,807,5013.0,586,9,94 min,65,0.29903536977491957,2
1,807,5013.0,586,10,1 Season,749,0.0,0
1,807,5013.0,586,9,1 Season,399,0.0,0
1,103,5013.0,1141,9,5 Season,749,0.012861736334405145,0
0,807,5012.0,24,8,161 min,1206,0.5144694533762059,2
0,807,5012.0,586,5,61 min,595,0.19292604501607719,2
0,968,5012.0,36,9,166 min,1206,0.5305466237942122,2
1,86,5012.0,586,9,2 Season,220,0.003215434083601286,0
0,807,5012.0,38,8,147 min,1206,0.46945337620578775,2
0,2805,5011.0,193,2,103 min,1206,0.3279742765273312,2
0,2805,5010.0,279,2,97 min,271,0.30868167202572344,2
0,1,5010.0,279,2,106 min,65,0.337620578778135,2
0,807,5008.0,586,9,111 min,1597,0.35369774919614144,2
1,807,5008.0,586,10,1 Season,120,0.0,0
1,412,5008.0,950,10,3 Season,248,0.006430868167202573,0
1,807,5008.0,586,10,1 Season,749,0.0,0
1,807,5008.0,950,6,1 Season,386,0.0,0
0,807,5008.0,586,10,110 min,1597,0.3504823151125402,2
0,807,5008.0,586,10,105 min,857,0.33440514469453375,2
1,1,5007.0,1141,6,1 Season,386,0.0,0
0,3,5007.0,1022,2,96 min,857,0.3054662379421222,2
1,968,5007.0,586,6,3 Season,386,0.006430868167202573,0
1,2805,5007.0,586,6,1 Season,386,0.0,0
0,2805,5007.0,7,1,124 min,857,0.3954983922829582,2
0,2805,5007.0,7,1,116 min,1597,0.3697749196141479,2
0,2805,5007.0,11,1,98 min,857,0.31189710610932475,2
0,2805,5007.0,8,2,91 min,857,0.28938906752411575,2
0,807,5007.0,586,1,23 min,818,0.0707395498392283,2
0,1,5007.0,228,3,115 min,857,0.36655948553054657,2
1,807,5007.0,950,10,1 Season,749,0.0,0
0,2805,5007.0,45,3,122 min,1597,0.3890675241157556,2
1,95,5006.0,586,10,2 Season,749,0.003215434083601286,0
1,968,5006.0,348,8,1 Season,749,0.0,0
0,245,5006.0,51,9,99 min,857,0.315112540192926,2
0,245,5006.0,61,9,99 min,857,0.315112540192926,2
0,245,5006.0,64,8,88 min,857,0.2797427652733119,2
0,245,5006.0,45,8,100 min,857,0.3183279742765273,2
1,2805,5006.0,586,8,6 Season,120,0.016077170418006433,0
0,245,5006.0,184,9,102 min,857,0.3247588424437299,2
0,245,5006.0,136,8,93 min,857,0.2958199356913183,2
0,245,5006.0,152,8,96 min,857,0.3054662379421222,2
0,245,5006.0,88,8,95 min,857,0.3022508038585209,2
0,245,5006.0,193,9,85 min,857,0.270096463022508,2
0,245,5006.0,80,8,97 min,857,0.30868167202572344,2
0,245,5006.0,96,8,95 min,857,0.3022508038585209,2
0,245,5006.0,64,8,83 min,857,0.26366559485530544,2
0,807,5006.0,586,8,103 min,595,0.3279742765273312,2
1,412,5006.0,586,5,6 Season,386,0.016077170418006433,0
1,968,5006.0,348,7,1 Season,220,0.0,0
1,2805,5006.0,22,8,9 Season,386,0.02572347266881029,0
0,807,5006.0,586,9,113 min,818,0.360128617363344,2
1,968,5006.0,554,8,1 Season,749,0.0,0
1,807,5006.0,586,10,1 Season,749,0.0,0
0,807,5005.0,586,5,13 min,595,0.03858520900321543,2
1,412,5005.0,586,10,5 Season,248,0.012861736334405145,0
0,95,5005.0,1141,10,182 min,1597,0.5819935691318329,2
1,807,5005.0,586,8,2 Season,120,0.003215434083601286,0
0,807,5005.0,586,7,106 min,595,0.337620578778135,2
1,245,5005.0,279,9,1 Season,176,0.0,0
0,807,5061.0,586,6,48 min,595,0.15112540192926047,2
0,807,5061.0,950,9,145 min,1206,0.4630225080385852,2
0,807,5061.0,586,9,145 min,1206,0.4630225080385852,2
0,807,5030.0,586,6,93 min,595,0.2958199356913183,2
0,2805,5030.0,586,3,106 min,857,0.337620578778135,2
1,2805,5030.0,586,9,6 Season,399,0.016077170418006433,0
1,807,5030.0,586,10,1 Season,120,0.0,0
0,95,5030.0,950,10,147 min,857,0.46945337620578775,2
1,807,5030.0,586,6,1 Season,176,0.0,0
0,807,5030.0,586,10,87 min,128,0.27652733118971057,2
1,807,5030.0,1024,5,2 Season,386,0.003215434083601286,0
0,807,5000.0,586,2,96 min,818,0.3054662379421222,2
1,807,5000.0,1022,6,4 Season,386,0.00964630225080386,0
0,1,5000.0,1024,10,95 min,13,0.3022508038585209,2
0,124,5000.0,586,9,92 min,818,0.292604501607717,2
